58         & attackers            & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
59         & attendants           & '/NULL.NULL, NULL/s/s'.NULL, ce/t/ts.ts \\
60         & balances             & (2)/NULL.NULL, NULL/d/s/s(2).NULL, e/ed/es/ing.es \\
61         & blazer               & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
62         & blazers              & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
63         & bleacher             & NULL/ed/er/ers/ing.NULL, NULL/s.NULL, d/r/rs.r \\
64         & bleachers            & NULL/ed/er/ers/ing.NULL, NULL/s.NULL, d/r/rs.rs \\
65         & blended              & (2)/NULL.NULL, NULL/ed/er/ing/s.NULL, d/d(2)/r.d \\
66         & boiler               & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
67         & boilers              & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
68         & booster              & NULL/ed/er/ers/ing/s.NULL, NULL/ism/s.NULL, d/r/rs.r \\
69         & boosters             & NULL/ed/er/ers/ing/s.NULL, NULL/ism/s.NULL, d/r/rs.rs \\
70         & borrowers            & '/NULL.NULL, 's/NULL/s/s'.NULL, d/r/r's/rs/rs'.rs \\
71         & borrowers'           & '/NULL.', 's/NULL/s/s'.NULL, d/r/r's/rs/rs'.rs' \\
72         & botanist             & (2)/NULL.NULL, cal/st.st, ical/ist/y.ist \\
73         & bottler              & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
74         & bottlers             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
75         & bruises              & (2)/NULL.NULL, NULL/d/s/s(2).NULL, e/ed/es/ing.es \\
76         & bunches              & (2)/NULL.NULL, NULL/ed/es/ing.NULL, d/s/s(2).s \\
77         & buttresses           & (2)/NULL.NULL, NULL/ed/es/ing.NULL, d/s/s(2).s \\
78         & calculated           & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion/ions/or/ors.ed \\
79         & calculation          & NULL/s.NULL, e/ed/es/ing/ion/ions/or/ors.ion, ng/on/ons.on \\
80         & calculations         & NULL/s.NULL, e/ed/es/ing/ion/ions/or/ors.ions, ng/on/ons.ons \\
81         & casualty(2)          & (2)/(3)/NULL.(2), 2)/3).2), ies/y/y(2).y(2) \\
